flat_url,image_url,image_name
https://www.house.kg/details/7241456668f8ae09c8fe1-49958205,,
https://www.house.kg/details/2606442668cc91daa4a96-63728617,,
https://www.house.kg/details/7103664668bb90eb42367-66599650,,
https://www.house.kg/details/7461038669de2af2e1921-39812373,,
https://www.house.kg/details/860004166d5422c08e774-86248156,,
https://www.house.kg/details/9860596668bb19a720710-41575322,,
https://www.house.kg/details/3874940668b79953ce273-84851840,,
https://www.house.kg/details/35791396687b51f5243f6-35156673,,
https://www.house.kg/details/99096426687bdda009f98-66110771,,
https://www.house.kg/details/8331983668782d1b52333-42539387,,
https://www.house.kg/details/5061465668688cf635113-73068458,,
https://www.house.kg/details/2150093668684ccd7b4d9-68555695,,
https://www.house.kg/details/746060668673fd13f674-39019682,,
https://www.house.kg/details/13555326686654f223741-28233882,,
https://www.house.kg/details/743894966826a06922162-05285770,,
https://www.house.kg/details/922057766825b2e1dc6a6-09532913,,
https://www.house.kg/details/8967894667d40f1d29ce8-77913257,,
https://www.house.kg/details/274274466ceda47782fb8-12326114,https://clck.ru/3AQXYx,f41daca66b19a01965c23a457ca8bf3c_1200x900.jpg
https://www.house.kg/details/5330501667d3b6b761f27-59259978,,
https://www.house.kg/details/3249581667d34d408f3d9-14051259,,
https://www.house.kg/details/93487746699f10312ff88-76949194,,
https://www.house.kg/details/7450426667bd5b23c50c6-84934252,,
https://www.house.kg/details/677161166791520af78d0-53412171,,
https://www.house.kg/details/5916293667a8197f0e330-38694751,,
https://www.house.kg/details/519092366794787be1f58-62071265,,
https://www.house.kg/details/394829666791d00aabb29-46426046,,
https://www.house.kg/details/8864575667526c6649494-30649311,,
https://www.house.kg/details/22538066e71060322f88-60952118,,
https://www.house.kg/details/24659766ebc20b2b65c1-54739369,https://clck.ru/3AQXYx,0cf860b88075ff7c38dc5c6965bd1c3e_1200x900.jpg
https://www.house.kg/details/966269166dddca03db680-21527084,https://clck.ru/3AQXYx,0505b438773bf7c7990e73996d5ee86d_1200x900.jpg
https://www.house.kg/details/19355006667ff952508f5-41968031,,
https://www.house.kg/details/8316383665852b87670b6-39280916,,
